Name,Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
lne_CHAP1-_HAKB1-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAG5B_LAHO5-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAPX3_LAHO3B_1,0,0,0,0,0,0,0,0,0,0,3.72E-07,4.13E-07,4.22E-07,4.21E-07,4.22E-07,4.21E-07,4.21E-07
LOBI3B_MOFTT2_1,0,0,0,0,0,0,0,0,0,0,0,0,9.037059621,4.550036205,4.484381091,4.495175332,14.67087607
lne_CHAP1-_DUMF1-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3609055,23.53931196
CHAP3-_LOBI3B_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAP3-_CHAPX1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.29342912,36.41506713,60.14532655,50.17156591
CHAPX4_KIBAT1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.70417747,63.81711858,54.87487032,44.4616063
CHAPX4_MOFTT1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34397906,12.74381643,8.259196285
CHAP3-_CHAPX3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.44297639,19.97422454,11.57988697
GRNA3A_GRNAT1_1,0,0,0,0,0,0,0,0,0,0,0,0,9.054379528,4.841925617,4.793595831,4.80135473,24.55135978
LOBI3A_LOBIT1_1,0,0,0,0,0,0,0,0,0,0,0,0,0.000748749,0.000738128,0.000748811,0.000747037,0.239379572
LAHO3A_LAHOT1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621958745,0.780954009,0.775161435,0.749893276
LAHO3B_LAHOT2_1,0,0,0,0,0,0,0,0,0,0,1.658854552,1.122972933,0.694527345,0.696855183,0.686267338,0.687671183,0.426077166
MIBI3-_MIBIT1_1,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-09,2.22E-09,2.22E-09,2.22E-09,0.249707965
GRNA3B_GRNAT2_1,0,0,0,0,0,0,0,0,0,1.088616709,0.826170527,0.541681348,0.531349081,0.532852409,0.525804954,0.526716344,0.523424485
MIBI3-_LAHO3A_1,0,0,0,0,0,0,0,0,0,0,0,1.517210502,1.10532741,0.740784124,0.729892642,0.731696459,0.488180091
LAHO3B_NEWCT1_1,0,0,0,0,0,0,0,0,0,0,149.4315242,101.1586923,62.56382139,62.77351574,61.81975048,61.94621049,38.38152082
CHAP3-_MIBI3-_1,0,0,0,0,0,0,0,0,0,0,0,0,9.054316959,4.55992054,4.494210172,4.505032734,4.545980569
ANANT1_CHAP3-_1,0,0,0,0,0,2.83107342,2.842550002,2.853487881,2.759510894,54.61987593,119.9609273,81.46067458,60.78383597,39.90896996,38.49900423,39.06340207,24.93587056
CARU3A_CHAPX1_1,0,0,0,0,0,0,0,0,59.75517206,44.76826659,29.22434335,29.28423079,29.00179597,29.55237156,29.131624,29.20082834,29.19162386
ANANT2_CHAP3-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384343496,0.39013081,0.389454127,0.391860982
EWHC3-_MIBI3-_1,0,0,0,0,0,0,0,0,59.76325375,44.77074552,29.22469924,29.28459319,29.00212867,29.55272957,29.13197003,29.2011817,28.90930887
CRAG5A_LAHO5-_1,0,0,0,0,0,3.782912193,3.766943912,3.752367247,3.907438645,3.986992679,4.039971741,3.975245441,3.898641871,26.68067508,25.0160386,25.84525318,23.0245963
CHAPX4_LOBI3A_1,0,0,0,0,0,0,0,0,0,0,0.532119826,0.589639501,0.602296354,0.600281667,0.601628728,0.600398761,0.600121094
CHAPX1_LOBI3A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.58751309,52.34813218,31.2535855
CHAP3-_GRNA3B_1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.78711837,63.85989668,54.90763152,44.44630727
CHAP3-_MINS3-_1,0,0,0,0,0,0,0,0,0,0,0,61.52600595,44.82329955,30.04031964,29.59864765,29.67179614,19.79670666
CHAP3-_STCR3-_1,0,0,0,0,6.804040966,6.797559084,6.76883174,6.742608325,7.021600354,7.049916641,49.24149309,49.72003161,47.98192574,52.51423823,48.61432592,49.06909777,48.18349422
LOBI3B_LOBIT2_1,0,0,3.24078883,3.24078883,2.801654221,3.055733038,3.683895061,4.278746044,16.36024008,19.30540336,11.13987499,15.92033882,12.5263344,26.18242884,21.02866709,22.76326899,19.67704774
lne_AL048A_GRNA1-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634835915,0.760378747,0.775710237,0.810023119
lne_CHAP1-_AL048A_1,0,0,0,0,0,0,0.254308202,0.895651613,0.704919823,0.702135569,0.714608691,0.713160701,0.889668539,0.706724843,0.885716482,0.715178911,0.888172338
lne_AL048B_GRNA1-_1,0,0,0,0,0,0,0.76330959,1.465469991,1.150190581,1.145647617,1.166001871,1.163639237,1.450191475,1.153136569,1.443761139,1.166932279,1.447765271
lne_CHAP1-_AL048B_1,0,0,0,0,0,0,0.003152032,0.003172687,0.002475358,0.002465581,0.002509396,0.002504312,0.003114175,0.002481702,0.003100419,0.002511399,0.003109021
CHAP08_CHAPX3_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP3-_SOLWAY,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP3A1,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999
CHAP3A2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP1-_CHAP3-_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP1-_CHAP3-_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
M1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
